"番号","質問","カテゴリ","優先度","なぜ聞くか","回答形式","回答","ステータス"
"A-01","太田:引き継ぎ時点(2022年6月)の月次売上と内訳(宿泊/宴会/その他)は?","A 太田・実数と改革検証","★★★ 最優先","再生のビフォー数値。これがないと「何をどれだけ改善したか」が語れず、コンサル営業資料にも使えない","月商◯◯万円(宿泊◯/宴会◯/他◯)。概算・年平均でも可","【実測・freee】引き継ぎ初月2022/6の月商1,240万。キンキ期FY23/5通年: 売上1.99億(月平均1,656万)、営業利益2,270万(租税公課4,601万込み・うち2022/7の3,578万は取得直後の一過性と推定)。※freeeでは宿泊/宴会の科目分離なし。PMS宿泊(税抜月1,245万)との差分≒宴会・料飲・その他。前運営ルセット末期(2021/6-2022/1)は月平均1,460万(試算表)。","回答済"
"A-02","太田:現在(直近12ヶ月)の月次売上と内訳は?","A 太田・実数と改革検証","★★★ 最優先","アフター数値。A-01との差分が再生実績そのもの","月商◯◯万円(宿泊◯/宴会◯/他◯)。freeeの推移表添付でも可","【実測・freee】直近12ヶ月(2025/5-2026/4): 売上2.94億=月平均2,448万、営業利益3,810万=月平均318万(営業利益率13.0%)。NR4期は7ヶ月(25/10-26/4)で売上1.75億・営業3,050万と前期通年並みペース。※宿泊/宴会の科目分離なし。PMS宿泊基本(税抜月1,548万)との差分≒宴会・料飲・朝食・その他で月800-900万規模と推定(要確認)","回答済"
"A-03","太田:引き継ぎ時と現在の稼働率(年平均+繁忙月/閑散月)は?","A 太田・実数と改革検証","★★★ 最優先","プレイブックKPI表の根幹。危険水域50%/目標70%の基準を太田実測で裏付ける","前:◯% → 現:◯%(繁忙◯%/閑散◯%)","【実測・予約データ2022/6-2026/7】キンキ期(22/7-23/5) 87.2% → Now1年目 78.6% → Now2年目 79.6% → Now3年目(25/6-26/6) 77.9%。繁忙: 2022/8の93.5%が最高。閑散: 2023/6-7に67-71%(移行直後の谷、約3ヶ月で回復)。※分母77室固定・故障室未調整。詳細: playbook/data/太田_月次KPI.csv","回答済"
"A-04","太田:引き継ぎ時と現在のADR(平均客室単価)は?","A 太田・実数と改革検証","★★★ 最優先","値上げ幅の実績値。次のホテルで「どこまで上げられるか」の相場観になる","前:◯円 → 現:◯円","【実測・予約データ】ADR(税抜・基本商品ベース): キンキ期 6,091円 → Now1年目 6,998円 → Now2年目 7,906円 → Now3年目 8,490円(+39%)。単月ピーク9,852円(2025/8)。稼働9pt減と引き換えに宿泊売上は月+303万(+24%)。前運営メモにはADR5,200円・「単価上げられないのか」の記述あり=課題認識はあったが未実行だった","回答済"
"A-05","太田:黒字化までにかかった月数と、転換の決め手を1つ挙げるなら?","A 太田・実数と改革検証","★★★ 最優先","100日プランの時間軸設定の根拠。決め手の特定=再現すべき最重要打ち手","◯ヶ月/決め手:自由記述","【材料・実測】PL上はキンキ引き継ぎ初年度(FY23/5)から経常黒字1,770万、Now Resort化後も1期目(実質4ヶ月)から純利益620万。つまり「黒字化までの月数」は実測ではほぼ即黒字。 ←では何が一番効いたのか、あなたの言葉での「決め手」を記入ください(値付け?ごみ捨て・契約整理?人?)","未回答"
"A-06","太田:現在の月次GOP(または営業利益)と月額賃料は?","A 太田・実数と改革検証","★★★ 最優先","KPI表のGOP欄が現在空欄。賃料負担力の基準(賃料は売上の◯%まで等)もここから作る","GOP◯万円/月、賃料◯万円/月","【実測・freee】直近12ヶ月: 営業利益 月平均318万、賃料457万/月(売上比18.7%)。賃料負担前営業利益(GOP近似)は月777万=売上比31.7%。年次推移: NR2期 営業1,912万→NR3期 3,188万→NR4期は7ヶ月で3,053万。純利益: NR2期1,530万→NR3期2,387万。**家賃ゼロだったキンキ期(営業2,270万)より、家賃5,500万/年を負担しながら利益が大きい**","回答済"
"A-07","太田:人件費率(対売上)の引き継ぎ時→現在の推移は?","A 太田・実数と改革検証","★★ 重要","再生の主要レバーが単価か人件費かを判定する。次案件のDDで人件費率の合格ラインを設定できる","前:◯% → 現:◯%","【実測・freee】給与+賞与+法定福利+雑給ベース: キンキ期18.3%(※法定福利の計上なし・本社計上か要確認)→NR2期18.6%→NR3期17.9%。清掃等の外注費を含むとNR3期28.2%(外注29.3M/年)。キンキ期は外注・委託が約10.4M(業務委託料)で込み23.6%→外注化が進んだ構造。売上が伸びた分、率は維持〜低下","回答済"
"A-08","太田:OTA経由比率と自社予約比率の現在値は?チャネル別手数料率も","A 太田・実数と改革検証","★★ 重要","沖縄案件で問題化した手数料23-25%との比較基準。太田の到達点が他ホテルの目標値になる","OTA◯%(楽天◯/じゃらん◯/Booking◯)、自社◯%","【実測・予約データ/客室売上ベース・直近期】OTA計約77%: 楽天34.5%/じゃらん26.9%/一休11.3%(0%から成長・高単価化の受け皿)/Booking1.8%/JTB0.6%。自社HP(じゃらんダイレクト)4.7%(キンキ期10.7%から低下)、直予約(電話等)15.6%。 ←チャネル別手数料率と、太田へのTripla展開判断を追記ください","回答済"
"A-09","太田:法人特約を9割解約した際の判定基準は?残した1割の条件は?","A 太田・実数と改革検証","★★★ 最優先","プレイブック第1版の【要確認】4番。基準を言語化できれば次のホテルで誰でも実行できる打ち手になる","切った基準:◯◯/残した基準:◯◯。揉めた事例があれば別途記述","","未回答"
"A-10","太田:改革実績リスト約40項目のうち、効果が大きかったトップ3と「やらなくてよかった」施策は?","A 太田・実数と改革検証","★★★ 最優先","第2版で施策に優先順位をつける。全部やるのではなく効く順にやるプレイブックにする","トップ3:①②③/不要だった:◯◯とその理由","","未回答"
